product_id,name,brand,unit_price,active,updated_at,category.name,category.department,quarantine_reason,order_id,customer_id,order_timestamp,quantity,discount_pct,status
P0441,,,49223.61,,2025-11-18 09:05:00+00:00,,,Invalid quantity or status,O0000071,C02927,2025-11-15 20:05:00+00:00,4.0,0.0,PACKED
P0551,,,64688.53,,2025-02-03 17:09:00+00:00,,,Invalid quantity or status,O0000073,C01080,2025-02-03 11:09:00+00:00,7.0,0.0,PAID
P0216,,,82079.9,,2025-01-28 01:28:00+00:00,,,Invalid quantity or status,O0000074,C02458,2025-01-26 15:28:00+00:00,5.0,0.0,PACKED
P0311,,,59966.53,,2026-08-30 02:09:00+00:00,,,Invalid quantity or status,O0000079,C00123,2026-08-27 03:09:00+00:00,6.0,0.1,PACKED
P0077,,,19310.99,,2025-01-07 09:31:00+00:00,,,Invalid quantity or status,O0000081,C01377,2025-01-05 04:31:00+00:00,3.0,0.0,PACKED
P0383,,,79854.28,,2025-06-19 19:03:00+00:00,,,Invalid quantity or status,O0000088,C02265,2025-06-19 05:03:00+00:00,3.0,0.0,PAID
P0480,,,1541.62,,2026-04-13 14:46:00+00:00,,,Invalid quantity or status,O0000091,C00828,2026-04-12 03:46:00+00:00,2.0,0.0,PAID
P0307,,,74775.57,,2026-09-05 06:28:00+00:00,,,Invalid quantity or status,O0000094,C00048,2026-09-04 16:28:00+00:00,8.0,0.0,PACKED
P0504,,,34959.35,,2026-08-08 16:26:00+00:00,,,Invalid quantity or status,O0000096,C01967,2026-08-07 16:26:00+00:00,7.0,0.0,PACKED
P0291,,,25096.1,,2025-07-21 04:16:00+00:00,,,Invalid quantity or status,O0000101,C00178,2025-07-19 12:16:00+00:00,6.0,0.0,PACKED
P0003,,,19688.11,,2026-05-24 06:11:00+00:00,,,Invalid quantity or status,O0000104,C00947,2026-05-24 01:11:00+00:00,5.0,0.0,PAID
P0257,,,36267.98,,2025-02-27 04:46:00+00:00,,,Invalid quantity or status,O0000110,C02753,2025-02-26 20:46:00+00:00,5.0,0.15,PAID
P0241,,,6477.71,,2026-08-06 17:47:00+00:00,,,Invalid quantity or status,O0000111,C01710,2026-08-04 02:47:00+00:00,4.0,0.15,PAID
P0344,,,2785.93,,2025-11-11 06:39:00+00:00,,,Invalid quantity or status,O0000112,C02709,2025-11-08 06:39:00+00:00,0.0,0.05,PACKED
P0003,,,19688.11,,2026-07-21 10:10:00+00:00,,,Invalid quantity or status,O0000115,C00004,2026-07-18 15:10:00+00:00,6.0,0.0,PAID
P0486,,,31187.76,,2025-03-12 15:59:00+00:00,,,Invalid quantity or status,O0000121,C01065,2025-03-10 17:59:00+00:00,1.0,0.0,PAID
P0378,,,65788.09,,2025-07-04 16:20:00+00:00,,,Invalid quantity or status,O0000126,C02642,2025-07-02 04:20:00+00:00,6.0,0.0,PAID
P0191,,,51738.56,,2026-07-09 03:31:00+00:00,,,Invalid quantity or status,O0000134,C00290,2026-07-07 02:31:00+00:00,4.0,0.1,PAID
P0079,,,24296.45,,2026-05-01 00:02:00+00:00,,,Invalid quantity or status,O0000138,C01839,2026-04-30 02:02:00+00:00,4.0,0.15,PACKED
P0222,,,25358.22,,2025-05-20 03:45:00+00:00,,,Invalid quantity or status,O0000139,C01890,2025-05-18 16:45:00+00:00,4.0,0.1,PAID
P0495,,,12972.89,,2025-06-04 04:28:00+00:00,,,Invalid quantity or status,O0000140,C02543,2025-06-01 08:28:00+00:00,1.0,0.05,PACKED
P0501,,,27209.3,,2025-11-30 17:19:00+00:00,,,Invalid quantity or status,O0000142,C02881,2025-11-29 16:19:00+00:00,5.0,0.05,PAID
P0242,,,76493.62,,2026-07-28 03:03:00+00:00,,,Invalid quantity or status,O0000143,C02102,2026-07-26 10:03:00+00:00,2.0,0.05,PAID
P0377,,,64363.13,,2026-02-12 15:06:00+00:00,,,Invalid quantity or status,O0000147,C02149,2026-02-10 02:06:00+00:00,2.0,0.15,PAID
P0107,,,8740.43,,2025-12-11 20:47:00+00:00,,,Invalid quantity or status,O0000150,C02673,2025-12-11 08:47:00+00:00,4.0,0.0,PACKED
P0014,,,77030.15,,2025-03-21 01:08:00+00:00,,,Invalid quantity or status,O0000153,C01760,2025-03-18 08:08:00+00:00,5.0,0.1,PACKED
P0202,,,24977.16,,2025-02-05 07:14:00+00:00,,,Invalid quantity or status,O0000155,C00916,2025-02-04 04:14:00+00:00,8.0,0.0,PACKED
P0339,,,66565.59,,2025-07-29 13:10:00+00:00,,,Invalid quantity or status,O0000158,C02035,2025-07-28 05:10:00+00:00,1.0,0.1,PACKED
P0454,,,68631.05,,2025-08-28 01:34:00+00:00,,,Invalid quantity or status,O0000164,C01665,2025-08-25 05:34:00+00:00,7.0,0.0,PAID
P0442,,,17818.66,,2025-03-29 15:45:00+00:00,,,Invalid quantity or status,O0000170,C00139,2025-03-27 13:45:00+00:00,3.0,0.15,PACKED
P0156,,,77342.38,,2026-04-06 00:21:00+00:00,,,Invalid quantity or status,O0000187,C02310,2026-04-03 02:21:00+00:00,7.0,0.1,PAID
P0547,,,64728.88,,2026-07-31 19:51:00+00:00,,,Invalid quantity or status,O0000188,C01391,2026-07-29 19:51:00+00:00,4.0,0.0,PAID
P0361,,,43456.93,,2025-08-18 01:45:00+00:00,,,Invalid quantity or status,O0000191,C00846,2025-08-16 14:45:00+00:00,4.0,0.05,PACKED
P0451,,,66948.71,,2026-07-22 05:47:00+00:00,,,Invalid quantity or status,O0000195,C00619,2026-07-21 01:47:00+00:00,4.0,0.05,PACKED
P0004,,,23373.7,,2025-01-24 12:34:00+00:00,,,Invalid quantity or status,O0000197,C02546,2025-01-23 15:34:00+00:00,4.0,0.05,PACKED
P0543,,,54041.44,,2025-08-24 17:23:00+00:00,,,Invalid quantity or status,O0000198,C01863,2025-08-23 12:23:00+00:00,7.0,0.15,PACKED
P0444,,,81498.76,,2026-04-17 19:16:00+00:00,,,Invalid quantity or status,O0000200,C00260,2026-04-16 21:16:00+00:00,3.0,0.0,PAID
P0120,,,12754.97,,2026-08-14 20:18:00+00:00,,,Invalid quantity or status,O0000201,C01703,2026-08-12 05:18:00+00:00,3.0,0.1,PACKED
P0443,,,82138.91,,2026-05-15 15:33:00+00:00,,,Invalid quantity or status,O0000203,C02532,2026-05-14 18:33:00+00:00,2.0,0.15,PACKED
P0194,,,46283.12,,2026-08-07 05:57:00+00:00,,,Invalid quantity or status,O0000205,C02425,2026-08-07 01:57:00+00:00,1.0,0.05,PAID
P0517,,,25482.11,,2026-01-14 04:50:00+00:00,,,Invalid quantity or status,O0000208,C00051,2026-01-11 05:50:00+00:00,5.0,0.0,PAID
P0502,,,46377.67,,2026-01-15 16:35:00+00:00,,,Invalid quantity or status,O0000209,C02996,2026-01-13 04:35:00+00:00,6.0,0.0,PACKED
P0492,,,24199.17,,2025-04-08 18:59:00+00:00,,,Invalid quantity or status,O0000210,C01699,2025-04-07 19:59:00+00:00,3.0,0.15,PACKED
P0543,,,54041.44,,2026-08-12 01:52:00+00:00,,,Invalid quantity or status,O0000222,C02747,2026-08-12 00:52:00+00:00,3.0,0.0,PACKED
P0189,,,64797.84,,2025-09-25 01:43:00+00:00,,,Invalid quantity or status,O0000226,C02642,2025-09-23 05:43:00+00:00,3.0,0.15,PAID
P0222,,,25358.22,,2026-07-04 08:37:00+00:00,,,Invalid quantity or status,O0000227,C02334,2026-07-02 01:37:00+00:00,3.0,0.0,PAID
P0062,,,4068.12,,2025-09-17 19:20:00+00:00,,,Invalid quantity or status,O0000231,C02265,2025-09-17 14:20:00+00:00,8.0,0.15,PAID
P0591,,,27119.07,,2026-03-09 20:59:00+00:00,,,Invalid quantity or status,O0000235,C01307,2026-03-07 08:59:00+00:00,7.0,0.0,PACKED
P0573,,,77140.47,,2026-06-15 13:27:00+00:00,,,Invalid quantity or status,O0000245,C01056,2026-06-13 14:27:00+00:00,6.0,0.1,PAID
P0380,,,40150.81,,2026-01-01 02:08:00+00:00,,,Invalid quantity or status,O0000248,C01653,2025-12-31 19:08:00+00:00,3.0,0.1,PAID
P0360,,,89523.6,,2026-01-29 02:17:00+00:00,,,Invalid quantity or status,O0000249,C00664,2026-01-28 22:17:00+00:00,4.0,0.15,PAID
P0392,,,79971.45,,2025-01-15 09:36:00+00:00,,,Invalid quantity or status,O0000250,C00944,2025-01-12 09:36:00+00:00,4.0,0.0,PACKED
P0052,,,78389.01,,2025-04-11 21:36:00+00:00,,,Invalid quantity or status,O0000255,C01891,2025-04-11 10:36:00+00:00,1.0,0.15,PAID
P0011,,,57532.56,,2025-01-30 13:38:00+00:00,,,Invalid quantity or status,O0000261,C01173,2025-01-27 14:38:00+00:00,7.0,0.1,PACKED
P0407,,,68471.58,,2025-06-10 18:01:00+00:00,,,Invalid quantity or status,O0000265,C00058,2025-06-07 22:01:00+00:00,3.0,0.15,PAID
P0578,,,33153.37,,2026-08-28 05:42:00+00:00,,,Invalid quantity or status,O0000266,C02164,2026-08-25 20:42:00+00:00,6.0,0.05,PACKED
P0426,,,69329.23,,2026-02-01 09:26:00+00:00,,,Invalid quantity or status,O0000270,C01327,2026-01-31 13:26:00+00:00,4.0,0.0,PACKED
P0260,,,16466.32,,2026-04-05 09:30:00+00:00,,,Invalid quantity or status,O0000275,C01317,2026-04-03 04:30:00+00:00,1.0,0.05,PAID
P0192,,,1564.55,,2025-08-06 05:22:00+00:00,,,Invalid quantity or status,O0000278,C01220,2025-08-05 14:22:00+00:00,2.0,0.0,PAID
P0310,,,35928.91,,2026-07-14 11:19:00+00:00,,,Invalid quantity or status,O0000279,C00006,2026-07-12 14:19:00+00:00,8.0,0.15,PACKED
P0540,,,29453.09,,2025-06-18 10:17:00+00:00,,,Invalid quantity or status,O0000280,C02558,2025-06-17 08:17:00+00:00,1.0,0.0,PACKED
P0335,,,70362.27,,2025-01-11 02:17:00+00:00,,,Invalid quantity or status,O0000281,C01971,2025-01-11 00:17:00+00:00,7.0,0.0,PAID
P0070,,,74756.7,,2026-03-31 02:23:00+00:00,,,Invalid quantity or status,O0000284,C01455,2026-03-28 06:23:00+00:00,1.0,0.15,PAID
P0507,,,4522.67,,2025-05-04 09:53:00+00:00,,,Invalid quantity or status,O0000285,C01859,2025-05-03 06:53:00+00:00,4.0,0.0,PACKED
P0229,,,49361.2,,2025-08-30 04:49:00+00:00,,,Invalid quantity or status,O0000286,C02629,2025-08-27 23:49:00+00:00,3.0,0.1,PAID
P0179,,,49133.18,,2026-03-05 19:06:00+00:00,,,Invalid quantity or status,O0000288,C02951,2026-03-03 20:06:00+00:00,8.0,0.15,PACKED
P0274,,,41566.8,,2025-05-04 09:20:00+00:00,,,Invalid quantity or status,O0000291,C02198,2025-05-02 08:20:00+00:00,2.0,0.05,PAID
P0217,,,8132.52,,2025-07-18 17:37:00+00:00,,,Invalid quantity or status,O0000293,C00442,2025-07-16 21:37:00+00:00,6.0,0.0,PAID
P0218,,,46687.34,,2025-04-27 01:21:00+00:00,,,Invalid quantity or status,O0000294,C01997,2025-04-26 15:21:00+00:00,4.0,0.1,PACKED
P0414,,,35322.58,,2025-01-09 22:40:00+00:00,,,Invalid quantity or status,O0000296,C00278,2025-01-07 13:40:00+00:00,7.0,0.0,PACKED
P0033,,,74739.14,,2025-01-10 04:03:00+00:00,,,Invalid quantity or status,O0000299,C01491,2025-01-09 02:03:00+00:00,8.0,0.0,PACKED
P0484,,,1559.64,,2025-09-04 15:23:00+00:00,,,Invalid quantity or status,O0000303,C02096,2025-09-01 16:23:00+00:00,8.0,0.0,PAID
P0321,,,86572.35,,2025-12-30 22:18:00+00:00,,,Invalid quantity or status,O0000304,C01715,2025-12-27 23:18:00+00:00,6.0,0.0,PACKED
P0223,,,29111.74,,2026-09-12 05:22:00+00:00,,,Invalid quantity or status,O0000305,C00128,2026-09-11 12:22:00+00:00,6.0,0.1,PAID
P0319,,,89212.6,,2026-08-05 05:10:00+00:00,,,Invalid quantity or status,O0000307,C00970,2026-08-04 12:10:00+00:00,1.0,0.0,PAID
P0273,,,50778.28,,2026-07-11 10:25:00+00:00,,,Invalid quantity or status,O0000311,C02436,2026-07-08 18:25:00+00:00,5.0,0.05,PACKED
P0600,,,41269.99,,2025-06-30 21:38:00+00:00,,,Invalid quantity or status,O0000312,C01487,2025-06-30 08:38:00+00:00,4.0,0.15,PACKED
P0184,,,70782.8,,2026-04-10 18:46:00+00:00,,,Invalid quantity or status,O0000318,C00037,2026-04-10 15:46:00+00:00,3.0,0.0,PAID
P0549,,,15850.97,,2026-02-09 14:30:00+00:00,,,Invalid quantity or status,O0000321,C00761,2026-02-09 07:30:00+00:00,1.0,0.1,PAID
P0522,,,26730.04,,2025-11-27 02:50:00+00:00,,,Invalid quantity or status,O0000326,C00749,2025-11-24 23:50:00+00:00,8.0,0.0,PAID
P0380,,,40150.81,,2025-05-05 19:58:00+00:00,,,Invalid quantity or status,O0000328,C01205,2025-05-05 00:58:00+00:00,8.0,0.05,PAID
P0318,,,26681.18,,2026-08-26 12:49:00+00:00,,,Invalid quantity or status,O0000331,C02572,2026-08-26 00:49:00+00:00,8.0,0.0,PACKED
P0404,,,53204.73,,2025-02-12 20:55:00+00:00,,,Invalid quantity or status,O0000334,C02052,2025-02-10 09:55:00+00:00,7.0,0.0,PACKED
P0098,,,79020.41,,2025-06-06 02:37:00+00:00,,,Invalid quantity or status,O0000335,C01606,2025-06-03 16:37:00+00:00,7.0,0.1,PACKED
P0253,,,9223.53,,2025-08-17 00:53:00+00:00,,,Invalid quantity or status,O0000340,C02775,2025-08-16 13:53:00+00:00,8.0,0.05,PACKED
P0362,,,7968.21,,2025-04-24 02:57:00+00:00,,,Invalid quantity or status,O0000343,C02434,2025-04-22 12:57:00+00:00,2.0,0.0,PAID
P0377,,,64363.13,,2025-12-23 02:11:00+00:00,,,Invalid quantity or status,O0000344,C02177,2025-12-22 09:11:00+00:00,5.0,0.1,PACKED
P0455,,,344.16,,2025-11-26 14:48:00+00:00,,,Invalid quantity or status,O0000345,C01028,2025-11-25 15:48:00+00:00,3.0,0.0,PACKED
P0262,,,43872.24,,2025-12-28 22:53:00+00:00,,,Invalid quantity or status,O0000348,C01546,2025-12-28 19:53:00+00:00,8.0,0.0,PAID
P0568,,,66254.14,,2025-02-18 07:32:00+00:00,,,Invalid quantity or status,O0000355,C00292,2025-02-15 22:32:00+00:00,7.0,0.0,PACKED
P0226,,,89537.04,,2026-08-24 14:49:00+00:00,,,Invalid quantity or status,O0000362,C02891,2026-08-24 06:49:00+00:00,1.0,0.1,PACKED
P0011,,,57532.56,,2025-06-02 08:10:00+00:00,,,Invalid quantity or status,O0000363,C00360,2025-06-01 03:10:00+00:00,4.0,0.1,PACKED
P0001,,,86351.39,,2026-01-13 16:34:00+00:00,,,Invalid quantity or status,O0000366,C01053,2026-01-11 21:34:00+00:00,7.0,0.0,PAID
P0121,,,72296.49,,2025-10-11 09:14:00+00:00,,,Invalid quantity or status,O0000367,C02760,2025-10-11 05:14:00+00:00,8.0,0.1,PAID
P0448,,,12210.05,,2025-10-06 05:13:00+00:00,,,Invalid quantity or status,O0000373,C00768,2025-10-04 04:13:00+00:00,1.0,0.0,PAID
P0160,,,22449.87,,2025-01-17 01:02:00+00:00,,,Invalid quantity or status,O0000375,C01078,2025-01-14 08:02:00+00:00,2.0,0.0,PAID
P0035,,,12522.21,,2025-10-19 04:18:00+00:00,,,Invalid quantity or status,O0000379,C02489,2025-10-18 00:18:00+00:00,2.0,0.0,PACKED
P0474,,,34624.34,,2025-08-07 00:49:00+00:00,,,Invalid quantity or status,O0000381,C02159,2025-08-05 16:49:00+00:00,4.0,0.15,PAID
P0099,,,19031.02,,2026-05-14 21:08:00+00:00,,,Invalid quantity or status,O0000384,C02278,2026-05-14 12:08:00+00:00,3.0,0.15,PACKED
P0172,,,70418.1,,2025-12-06 09:02:00+00:00,,,Invalid quantity or status,O0000385,C01666,2025-12-03 22:02:00+00:00,4.0,0.0,PAID
P0041,,,72412.43,,2025-07-21 17:06:00+00:00,,,Invalid quantity or status,O0000387,C00894,2025-07-21 04:06:00+00:00,5.0,0.0,PACKED
P0281,,,42391.82,,2025-08-03 08:16:00+00:00,,,Invalid quantity or status,O0000390,C02971,2025-08-02 08:16:00+00:00,6.0,0.0,PAID
P0207,,,24262.67,,2025-08-17 02:44:00+00:00,,,Invalid quantity or status,O0000395,C01939,2025-08-15 03:44:00+00:00,2.0,0.0,PACKED
P0162,,,19462.32,,2025-07-24 19:32:00+00:00,,,Invalid quantity or status,O0000397,C02098,2025-07-23 23:32:00+00:00,5.0,0.05,PAID
P0580,,,33069.6,,2026-05-29 16:38:00+00:00,,,Invalid quantity or status,O0000398,C01787,2026-05-27 00:38:00+00:00,2.0,0.1,PACKED
P0498,,,54969.78,,2025-06-19 13:46:00+00:00,,,Invalid quantity or status,O0000400,C00437,2025-06-16 22:46:00+00:00,1.0,0.0,PACKED
P0278,,,70675.37,,2025-06-13 23:41:00+00:00,,,Invalid quantity or status,O0000406,C02377,2025-06-12 20:41:00+00:00,1.0,0.0,PAID
P0395,,,33467.86,,2025-08-20 11:56:00+00:00,,,Invalid quantity or status,O0000408,C01872,2025-08-18 17:56:00+00:00,3.0,0.15,PAID
P0504,,,34959.35,,2026-06-03 14:17:00+00:00,,,Invalid quantity or status,O0000415,C01367,2026-06-02 16:17:00+00:00,8.0,0.1,PACKED
P0291,,,25096.1,,2026-06-21 13:02:00+00:00,,,Invalid quantity or status,O0000418,C01779,2026-06-20 21:02:00+00:00,1.0,0.0,PAID
P0097,,,14871.81,,2026-07-13 02:45:00+00:00,,,Invalid quantity or status,O0000419,C00771,2026-07-10 20:45:00+00:00,5.0,0.15,PACKED
P0311,,,59966.53,,2025-03-03 09:37:00+00:00,,,Invalid quantity or status,O0000422,C02351,2025-03-03 00:37:00+00:00,1.0,0.15,PAID
P0116,,,20443.28,,2026-05-07 08:36:00+00:00,,,Invalid quantity or status,O0000423,C00796,2026-05-04 15:36:00+00:00,6.0,0.05,PACKED
P0136,,,70676.91,,2025-02-05 23:02:00+00:00,,,Invalid quantity or status,O0000425,C02368,2025-02-05 02:02:00+00:00,4.0,0.0,PACKED
P0354,,,22506.86,,2025-06-22 09:04:00+00:00,,,Invalid quantity or status,O0000428,C02886,2025-06-22 00:04:00+00:00,3.0,0.1,PAID
P0198,,,65808.84,,2025-06-25 04:57:00+00:00,,,Invalid quantity or status,O0000429,C02298,2025-06-25 03:57:00+00:00,1.0,0.0,PAID
P0517,,,25482.11,,2026-02-08 04:17:00+00:00,,,Invalid quantity or status,O0000431,C01515,2026-02-06 09:17:00+00:00,2.0,0.05,PAID
P0420,,,80165.3,,2025-11-12 23:49:00+00:00,,,Invalid quantity or status,O0000432,C00195,2025-11-11 21:49:00+00:00,2.0,0.1,PACKED
P0409,,,2368.2,,2025-04-18 10:14:00+00:00,,,Invalid quantity or status,O0000436,C00835,2025-04-16 21:14:00+00:00,8.0,0.0,PACKED
P0173,,,86089.35,,2026-01-10 00:48:00+00:00,,,Invalid quantity or status,O0000446,C02390,2026-01-09 00:48:00+00:00,8.0,0.1,PAID
P0595,,,38494.77,,2025-10-10 08:05:00+00:00,,,Invalid quantity or status,O0000450,C02656,2025-10-07 15:05:00+00:00,3.0,0.15,PACKED
P0430,,,38494.55,,2025-06-12 10:33:00+00:00,,,Invalid quantity or status,O0000451,C00166,2025-06-09 20:33:00+00:00,5.0,0.1,PACKED
P0264,,,73843.84,,2026-05-25 04:32:00+00:00,,,Invalid quantity or status,O0000453,C01183,2026-05-22 12:32:00+00:00,8.0,0.0,PAID
P0049,,,30639.95,,2026-05-21 01:31:00+00:00,,,Invalid quantity or status,O0000456,C00632,2026-05-19 14:31:00+00:00,4.0,0.15,PAID
P0413,,,72388.98,,2026-05-05 08:44:00+00:00,,,Invalid quantity or status,O0000457,C02359,2026-05-03 09:44:00+00:00,7.0,0.1,PAID
P0295,,,58450.82,,2025-06-02 06:10:00+00:00,,,Invalid quantity or status,O0000462,C02215,2025-05-31 00:10:00+00:00,4.0,0.0,PACKED
P0440,,,47427.73,,2026-02-15 08:01:00+00:00,,,Invalid quantity or status,O0000466,C01955,2026-02-13 04:01:00+00:00,3.0,0.15,PAID
P0471,,,17544.5,,2025-08-19 11:50:00+00:00,,,Invalid quantity or status,O0000467,C01143,2025-08-18 03:50:00+00:00,1.0,0.0,PAID
P0557,,,59971.17,,2025-02-24 15:09:00+00:00,,,Invalid quantity or status,O0000469,C02411,2025-02-23 06:09:00+00:00,6.0,0.0,PACKED
P0206,,,38120.18,,2025-02-11 06:56:00+00:00,,,Invalid quantity or status,O0000472,C02300,2025-02-10 15:56:00+00:00,1.0,0.05,PACKED
P0099,,,19031.02,,2025-06-26 04:58:00+00:00,,,Invalid quantity or status,O0000476,C02598,2025-06-24 15:58:00+00:00,4.0,0.0,PAID
P0237,,,44463.32,,2026-04-05 19:21:00+00:00,,,Invalid quantity or status,O0000477,C01523,2026-04-04 06:21:00+00:00,8.0,0.0,PACKED
P0594,,,7447.38,,2026-08-14 05:34:00+00:00,,,Invalid quantity or status,O0000479,C02487,2026-08-13 11:34:00+00:00,8.0,0.05,PACKED
P0513,,,41712.71,,2025-09-16 01:08:00+00:00,,,Invalid quantity or status,O0000486,C00670,2025-09-14 19:08:00+00:00,2.0,0.0,PACKED
P0481,,,68492.54,,2025-07-21 13:56:00+00:00,,,Invalid quantity or status,O0000487,C00592,2025-07-21 12:56:00+00:00,7.0,0.05,PAID
P0285,,,64779.6,,2025-09-16 06:37:00+00:00,,,Invalid quantity or status,O0000493,C00885,2025-09-14 08:37:00+00:00,8.0,0.15,PACKED
P0493,,,41839.45,,2025-01-06 18:21:00+00:00,,,Invalid quantity or status,O0000494,C02105,2025-01-05 23:21:00+00:00,3.0,0.15,PAID
P0560,,,64116.71,,2025-02-01 09:36:00+00:00,,,Invalid quantity or status,O0000499,C00953,2025-01-30 10:36:00+00:00,8.0,0.05,PACKED
P0456,,,74562.87,,2025-10-11 23:27:00+00:00,,,Invalid quantity or status,O0000507,C02059,2025-10-10 16:27:00+00:00,1.0,0.15,PACKED
P0278,,,70675.37,,2025-10-24 08:35:00+00:00,,,Invalid quantity or status,O0000514,C01900,2025-10-21 18:35:00+00:00,3.0,0.0,PACKED
P0105,,,56448.99,,2026-01-09 20:49:00+00:00,,,Invalid quantity or status,O0000521,C02762,2026-01-08 16:49:00+00:00,7.0,0.0,PAID
P0440,,,47427.73,,2026-05-15 13:59:00+00:00,,,Invalid quantity or status,O0000525,C01541,2026-05-13 15:59:00+00:00,1.0,0.0,PACKED
P0499,,,26623.46,,2026-07-17 15:20:00+00:00,,,Invalid quantity or status,O0000527,C00989,2026-07-16 05:20:00+00:00,8.0,0.15,PAID
P0524,,,71131.29,,2025-11-12 09:36:00+00:00,,,Invalid quantity or status,O0000528,C01436,2025-11-10 13:36:00+00:00,7.0,0.1,PACKED
P0522,,,26730.04,,2025-02-12 23:51:00+00:00,,,Invalid quantity or status,O0000534,C01677,2025-02-12 14:51:00+00:00,4.0,0.15,PACKED
P0269,,,17075.89,,2025-01-09 02:56:00+00:00,,,Invalid quantity or status,O0000537,C00882,2025-01-07 09:56:00+00:00,1.0,0.15,PAID
P0431,,,56797.47,,2026-03-14 20:07:00+00:00,,,Invalid quantity or status,O0000538,C01257,2026-03-14 02:07:00+00:00,8.0,0.15,PAID
P0038,,,83133.63,,2025-10-19 20:39:00+00:00,,,Invalid quantity or status,O0000541,C01908,2025-10-18 15:39:00+00:00,5.0,0.15,PACKED
P0334,,,86548.85,,2026-05-07 17:51:00+00:00,,,Invalid quantity or status,O0000542,C01714,2026-05-07 17:51:00+00:00,3.0,0.15,PACKED
P0168,,,10039.87,,2025-10-20 13:19:00+00:00,,,Invalid quantity or status,O0000545,C00260,2025-10-18 22:19:00+00:00,1.0,0.15,PAID
